name,NaPS,sorbent,Atoms,solvent,electronic_scf,vdw,Count,Mean /Å,Median /Å,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene-vdw,Na2S2,graphene,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
