name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@graphene,Na2S2,graphene,S–S,2.0764,Vacuum,True,False,1,2.0764,nan,0.0000,nan,nan
Na2S2@graphene,Na2S2,graphene,Na–Na,4.0454,Vacuum,True,False,1,4.0454,nan,0.0000,nan,nan
Na2S2@graphene,Na2S2,graphene,S–Na,2.7134,Vacuum,True,False,4,2.7138,0.0017,0.0014,0.0008,-1.1222
Na2S2@graphene,Na2S2,graphene,C–Na,3.3740,Vacuum,True,False,22,3.4343,0.4212,0.4115,0.0898,-0.0979
Na2S2@graphene,Na2S2,graphene,C–C,1.4262,Vacuum,True,False,96,1.4257,0.0012,0.0012,0.0001,1.9814
Na2S2@graphene-PC,Na2S2,graphene,C–C,1.4261,PC,True,False,96,1.4261,0.0000,0.0000,0.0000,-0.5834
Na2S2@graphene-PC,Na2S2,graphene,S–S,2.0428,PC,True,False,1,2.0428,nan,0.0000,nan,nan
Na2S2@graphene-PC,Na2S2,graphene,S–Na,4.0779,PC,True,False,4,4.0862,0.1595,0.1381,0.0797,-0.0592
Na2S2@graphene-glyme,Na2S2,graphene,C–C,1.4261,Glyme,True,False,96,1.4259,0.0008,0.0008,0.0001,2.3442
Na2S2@graphene-glyme,Na2S2,graphene,S–Na,2.8286,Glyme,True,False,4,2.8294,0.0063,0.0055,0.0031,-0.5499
Na2S2@graphene-glyme,Na2S2,graphene,S–S,2.0718,Glyme,True,False,1,2.0718,nan,0.0000,nan,nan
Na2S2@graphene-glyme,Na2S2,graphene,Na–Na,5.0389,Glyme,True,False,1,5.0389,nan,0.0000,nan,nan
Na2S4@graphene,Na2S4,graphene,Na–Na,3.5563,Vacuum,False,False,1,3.5563,nan,0.0000,nan,nan
Na2S4@graphene,Na2S4,graphene,S–Na,3.0062,Vacuum,False,False,8,2.8762,0.3335,0.3120,0.1179,1.0768
Na2S4@graphene,Na2S4,graphene,S–S,2.6020,Vacuum,False,False,5,2.1054,0.7245,0.6481,0.3240,0.6052
Na2S4@graphene,Na2S4,graphene,C–Na,3.4095,Vacuum,False,False,17,3.4530,0.3057,0.2966,0.0742,-0.4135
Na2S4@graphene,Na2S4,graphene,C–C,1.4261,Vacuum,False,False,96,1.4258,0.0009,0.0009,0.0001,2.0153
Na2S4@graphene-PC,Na2S4,graphene,S–Na,4.1398,PC,True,False,4,4.1361,0.2142,0.1855,0.1071,0.0052
Na2S4@graphene-PC,Na2S4,graphene,C–C,1.4261,PC,True,False,96,1.4261,0.0001,0.0001,0.0000,-0.1794
Na2S4@graphene-PC,Na2S4,graphene,S–S,2.0655,PC,True,False,3,2.0493,0.0283,0.0231,0.0163,1.7320
Na2S4@graphene-glyme,Na2S4,graphene,S–Na,3.1132,Glyme,True,False,8,2.9763,0.3307,0.3094,0.1169,1.1216
Na2S4@graphene-glyme,Na2S4,graphene,S–S,2.5990,Glyme,True,False,5,2.1219,0.7233,0.6469,0.3235,0.6003
Na2S4@graphene-glyme,Na2S4,graphene,C–C,1.4261,Glyme,True,False,96,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S4@graphene-glyme,Na2S4,graphene,Na–Na,4.0765,Glyme,True,False,1,4.0765,nan,0.0000,nan,nan
Na2S6@graphene,Na2S6,graphene,C–Na,3.5089,Vacuum,True,False,17,3.5228,0.3098,0.3006,0.0751,-0.4076
Na2S6@graphene,Na2S6,graphene,Na–Na,4.0399,Vacuum,True,False,1,4.0399,nan,0.0000,nan,nan
Na2S6@graphene,Na2S6,graphene,S–Na,3.0730,Vacuum,True,False,10,2.8289,0.4174,0.3959,0.1320,1.3138
Na2S6@graphene,Na2S6,graphene,S–S,2.4974,Vacuum,True,False,7,2.0185,0.6356,0.5885,0.2402,0.5803
Na2S6@graphene,Na2S6,graphene,C–C,1.4261,Vacuum,True,False,96,1.4259,0.0008,0.0008,0.0001,2.3442
Na2S6@graphene-PC,Na2S6,graphene,S–Na,4.1847,PC,True,False,4,4.2043,0.0583,0.0505,0.0292,-1.5708
