name,NaPS,sorbent,Atoms,solvent,electronic_scf,vdw,Count,Mean /Å,Median /Å,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@graphene,Na2S2,graphene,C–C,Vacuum,True,False,96,1.4262,1.4257,0.0012,0.0012,0.0001,1.9814
Na2S2@graphene,Na2S2,graphene,S–S,Vacuum,True,False,1,2.0764,2.0764,nan,0.0000,nan,nan
Na2S2@graphene,Na2S2,graphene,S–Na,Vacuum,True,False,4,2.7134,2.7138,0.0017,0.0014,0.0008,-1.1222
Na2S2@graphene-PC,Na2S2,graphene,C–C,PC,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,-0.5834
Na2S2@graphene-PC,Na2S2,graphene,C–C,PC,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,-0.5834
Na2S2@graphene-PC,Na2S2,graphene,C–C,PC,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,-0.5834
Na2S2@graphene-PC,Na2S2,graphene,C–C,PC,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,-0.5834
Na2S2@graphene-PC,Na2S2,graphene,C–C,PC,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,-0.5834
Na2S2@graphene-PC,Na2S2,graphene,C–C,PC,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,-0.5834
Na2S2@graphene-PC,Na2S2,graphene,C–C,PC,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,-0.5834
Na2S2@graphene-PC,Na2S2,graphene,C–C,PC,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,-0.5834
Na2S2@graphene-PC,Na2S2,graphene,C–C,PC,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,-0.5834
Na2S2@graphene-PC,Na2S2,graphene,C–C,PC,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,-0.5834
Na2S2@graphene-PC,Na2S2,graphene,C–C,PC,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,-0.5834
Na2S2@graphene-PC,Na2S2,graphene,C–C,PC,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,-0.5834
Na2S2@graphene-PC,Na2S2,graphene,C–C,PC,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,-0.5834
Na2S2@graphene-PC,Na2S2,graphene,C–C,PC,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,-0.5834
Na2S2@graphene-PC,Na2S2,graphene,C–C,PC,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,-0.5834
