name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,1.4262,Vacuum,True,True,96,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–Na,3.3105,Vacuum,True,True,19,3.2571,0.3727,0.3627,0.0855,0.1443
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,2.0796,Vacuum,True,True,1,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,2.7055,Vacuum,True,True,4,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,Na–Na,4.3203,Vacuum,True,True,1,4.3203,nan,0.0000,nan,nan
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,1.4261,Vacuum,False,True,96,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–Na,3.4383,Vacuum,False,True,17,3.4934,0.3009,0.2919,0.0730,-0.3892
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S,2.0769,Vacuum,False,True,3,2.0548,0.0385,0.0315,0.0223,1.7319
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–Na,2.9995,Vacuum,False,True,8,2.8692,0.3185,0.2979,0.1126,1.1351
Na2S4@graphene_vdw,Na2S4,graphene_vdw,Na–Na,3.7200,Vacuum,False,True,1,3.7200,nan,0.0000,nan,nan
Na2S6@graphene_vdw,Na2S6,graphene_vdw,S–Na,3.0597,Vacuum,True,True,10,2.8356,0.3833,0.3636,0.1212,1.2473
Na2S6@graphene_vdw,Na2S6,graphene_vdw,S–S,2.5023,Vacuum,True,True,7,2.0171,0.6378,0.5905,0.2411,0.5525
Na2S6@graphene_vdw,Na2S6,graphene_vdw,Na–Na,4.2330,Vacuum,True,True,1,4.2330,nan,0.0000,nan,nan
Na2S6@graphene_vdw,Na2S6,graphene_vdw,C–C,1.4261,Vacuum,True,True,96,1.4258,0.0009,0.0009,0.0001,2.5202
Na2S6@graphene_vdw,Na2S6,graphene_vdw,C–Na,3.4770,Vacuum,True,True,15,3.4911,0.2890,0.2792,0.0746,-0.3517
Na2S8@graphene-glyme-vdw,Na2S8,graphene,C–C,1.4261,Glyme,True,True,96,1.4261,0.0000,0.0000,0.0000,0.6339
Na2S8@graphene-glyme-vdw,Na2S8,graphene,C–Na,3.6569,Glyme,True,True,6,3.7369,0.2323,0.2120,0.0948,-0.5894
Na2S8@graphene-glyme-vdw,Na2S8,graphene,S–S,2.3694,Glyme,True,True,8,2.0581,0.6155,0.5758,0.2176,1.4225
Na2S8@graphene-glyme-vdw,Na2S8,graphene,S–Na,3.3388,Glyme,True,True,13,3.0430,0.5553,0.5335,0.1540,0.7503
Na2S8@graphene-glyme-vdw,Na2S8,graphene,Na–Na,3.8846,Glyme,True,True,1,3.8846,nan,0.0000,nan,nan
Na2S8@graphene-vdw,Na2S8,graphene,C–C,1.4261,Vacuum,True,True,96,1.4261,0.0000,0.0000,0.0000,0.6339
Na2S8@graphene-vdw,Na2S8,graphene,C–Na,3.5208,Vacuum,True,True,11,3.6622,0.3745,0.3571,0.1129,-0.7523
Na2S8@graphene-vdw,Na2S8,graphene,S–S,2.4949,Vacuum,True,True,9,2.0419,0.6645,0.6265,0.2215,0.7886
Na2S8@graphene-vdw,Na2S8,graphene,S–Na,3.3052,Vacuum,True,True,15,2.9972,0.5163,0.4988,0.1333,0.6647
Na2S8@graphene-vdw,Na2S8,graphene,Na–Na,3.4160,Vacuum,True,True,1,3.4160,nan,0.0000,nan,nan
Na2S@graphene_vdw,Na2S,graphene_vdw,S–Na,2.5419,Vacuum,True,True,2,2.5419,0.0016,0.0012,0.0012,nan
Na2S@graphene_vdw,Na2S,graphene_vdw,C–C,1.4262,Vacuum,True,True,96,1.4258,0.0011,0.0011,0.0001,2.4729
Na2S@graphene_vdw,Na2S,graphene_vdw,C–Na,3.4331,Vacuum,True,True,20,3.4954,0.3510,0.3421,0.0785,-0.4585
Na2S@graphene_vdw,Na2S,graphene_vdw,Na–Na,4.2348,Vacuum,True,True,1,4.2348,nan,0.0000,nan,nan
