name,NaPS,sorbent,Atoms,solvent,electronic_scf,vdw,Count,Mean /Å,Median /Å,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C,Vacuum,True,True,96,1.4262,1.4257,0.0012,0.0012,0.0001,2.0994
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,Vacuum,True,True,1,2.0796,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,Vacuum,True,True,4,2.7055,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C,Vacuum,False,True,96,1.4261,1.4259,0.0009,0.0009,0.0001,2.1001
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S,Vacuum,False,True,3,2.0769,2.0548,0.0385,0.0315,0.0223,1.7319
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S,Vacuum,False,True,3,2.0769,2.0548,0.0385,0.0315,0.0223,1.7319
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S,Vacuum,False,True,3,2.0769,2.0548,0.0385,0.0315,0.0223,1.7319
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S,Vacuum,False,True,3,2.0769,2.0548,0.0385,0.0315,0.0223,1.7319
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S,Vacuum,False,True,3,2.0769,2.0548,0.0385,0.0315,0.0223,1.7319
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S,Vacuum,False,True,3,2.0769,2.0548,0.0385,0.0315,0.0223,1.7319
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S,Vacuum,False,True,3,2.0769,2.0548,0.0385,0.0315,0.0223,1.7319
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S,Vacuum,False,True,3,2.0769,2.0548,0.0385,0.0315,0.0223,1.7319
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S,Vacuum,False,True,3,2.0769,2.0548,0.0385,0.0315,0.0223,1.7319
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S,Vacuum,False,True,3,2.0769,2.0548,0.0385,0.0315,0.0223,1.7319
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S,Vacuum,False,True,3,2.0769,2.0548,0.0385,0.0315,0.0223,1.7319
