name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S,Na2S,,Na–Na,4.1360,Vacuum,True,False,1,4.1360,nan,0.0000,nan,nan
Na2S,Na2S,,S–Na,2.4472,Vacuum,True,False,2,2.4472,0.0001,0.0000,0.0000,nan
Na2S-PC,Na2S,,S–Na,4.1618,PC,True,False,2,4.1618,0.0002,0.0001,0.0001,nan
Na2S-PC-elecmin,Na2S,,S–Na,4.3602,PC,False,False,2,4.3602,0.0053,0.0037,0.0037,nan
Na2S-PC-vdw,Na2S,,Na–Na,4.3304,PC,True,True,1,4.3304,nan,0.0000,nan,nan
Na2S-PC-vdw,Na2S,,S–Na,3.9236,PC,True,True,2,3.9236,0.0014,0.0010,0.0010,nan
Na2S-PC-vdw-elecmin,Na2S,,S–Na,3.9239,PC,False,True,2,3.9239,0.0014,0.0010,0.0010,nan
Na2S-PC-vdw-elecmin,Na2S,,Na–Na,4.3303,PC,False,True,1,4.3303,nan,0.0000,nan,nan
Na2S-elecmin,Na2S,,S–Na,2.4472,Vacuum,False,False,2,2.4472,0.0001,0.0000,0.0000,nan
Na2S-elecmin,Na2S,,Na–Na,4.1360,Vacuum,False,False,1,4.1360,nan,0.0000,nan,nan
Na2S-glyme,Na2S,,Na–Na,4.2230,Glyme,True,False,1,4.2230,nan,0.0000,nan,nan
Na2S-glyme,Na2S,,S–Na,2.5218,Glyme,True,False,2,2.5218,0.0005,0.0004,0.0004,nan
Na2S-glyme-elecmin,Na2S,,Na–Na,4.2230,Glyme,False,False,1,4.2230,nan,0.0000,nan,nan
Na2S-glyme-elecmin,Na2S,,S–Na,2.5218,Glyme,False,False,2,2.5218,0.0005,0.0004,0.0004,nan
Na2S-glyme-vdw,Na2S,,Na–Na,4.2249,Glyme,True,True,1,4.2249,nan,0.0000,nan,nan
Na2S-glyme-vdw,Na2S,,S–Na,2.5236,Glyme,True,True,2,2.5236,0.0004,0.0003,0.0003,nan
Na2S-glyme-vdw-elecmin,Na2S,,Na–Na,4.2249,Glyme,False,True,1,4.2249,nan,0.0000,nan,nan
Na2S-glyme-vdw-elecmin,Na2S,,S–Na,2.5236,Glyme,False,True,2,2.5236,0.0004,0.0003,0.0003,nan
Na2S-vdw,Na2S,,S–Na,2.4472,Vacuum,True,True,2,2.4472,0.0001,0.0000,0.0000,nan
