name,NaPS,sorbent,Atoms,solvent,electronic_scf,vdw,Count,Mean /Å,Median /Å,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
FeN4,,FeN4,N–Fe,Vacuum,True,False,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4,,FeN4,C–Fe,Vacuum,True,False,10,2.9846,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4,,FeN4,C–N,Vacuum,True,False,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4,,FeN4,C–C,Vacuum,True,False,72,1.4261,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-PC,,FeN4,C–C,PC,True,False,72,1.4261,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-PC,,FeN4,C–N,PC,True,False,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-PC,,FeN4,N–Fe,PC,True,False,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4-PC,,FeN4,C–Fe,PC,True,False,10,2.9846,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-PC-elecmin,,FeN4,C–C,PC,False,False,72,1.4261,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-PC-elecmin,,FeN4,N–Fe,PC,False,False,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4-PC-elecmin,,FeN4,C–Fe,PC,False,False,10,2.9846,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-PC-elecmin,,FeN4,C–N,PC,False,False,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-elecmin,,FeN4,C–Fe,Vacuum,False,False,10,2.9846,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-elecmin,,FeN4,C–N,Vacuum,False,False,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-elecmin,,FeN4,N–Fe,Vacuum,False,False,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4-elecmin,,FeN4,C–C,Vacuum,False,False,72,1.4261,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-glyme,,FeN4,C–Fe,Glyme,True,False,10,2.9846,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-glyme,,FeN4,N–Fe,Glyme,True,False,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4-glyme,,FeN4,C–C,Glyme,True,False,72,1.4261,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-glyme,,FeN4,C–N,Glyme,True,False,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-glyme-elecmin,,FeN4,N–Fe,Glyme,False,False,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4-glyme-elecmin,,FeN4,C–Fe,Glyme,False,False,10,2.9846,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-glyme-elecmin,,FeN4,C–N,Glyme,False,False,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-glyme-elecmin,,FeN4,C–C,Glyme,False,False,72,1.4261,1.4261,0.0000,0.0000,0.0000,-2.0857
N_graphene-PC-elecmin,,N_graphene,C–C,PC,False,False,105,1.5438,1.4267,0.3288,0.3272,0.0321,2.4597
N_graphene-PC-elecmin,,N_graphene,C–N,PC,False,False,3,1.4138,1.4138,0.0000,0.0000,0.0000,0.0000
N_graphene-PC-elecmin-vdw,,N_graphene,C–C,PC,False,True,105,1.5438,1.4267,0.3288,0.3272,0.0321,2.4597
N_graphene-PC-elecmin-vdw,,N_graphene,C–N,PC,False,True,3,1.4138,1.4138,0.0000,0.0000,0.0000,0.0000
N_graphene-PC-vdw,,N_graphene,C–C,PC,True,True,93,1.4260,1.4258,0.0006,0.0006,0.0001,2.5792
N_graphene-PC-vdw,,N_graphene,C–N,PC,True,True,3,1.4288,1.4287,0.0003,0.0003,0.0002,1.2943
