name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@FeN4,Na2S2,FeN4,C–C,1.4261,Vacuum,True,False,78,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@FeN4,Na2S2,FeN4,C–N,1.4261,Vacuum,True,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@FeN4,Na2S2,FeN4,N–Fe,1.8865,Vacuum,True,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S2@FeN4-PC,Na2S2,FeN4,C–C,1.4261,PC,False,False,72,1.4261,0.0000,0.0000,0.0000,-2.0857
Na2S2@FeN4-PC,Na2S2,FeN4,C–N,1.4261,PC,False,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@FeN4-PC,Na2S2,FeN4,N–Fe,1.8865,PC,False,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S2@FeN4-glyme,Na2S2,FeN4,C–C,1.4261,Glyme,False,False,78,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@FeN4-glyme,Na2S2,FeN4,C–N,1.4261,Glyme,False,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@FeN4-glyme,Na2S2,FeN4,N–Fe,1.8865,Glyme,False,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S4@FeN4,Na2S4,FeN4,N–Fe,1.8865,Vacuum,True,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S4@FeN4,Na2S4,FeN4,C–N,1.4261,Vacuum,True,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S4@FeN4,Na2S4,FeN4,C–C,1.4261,Vacuum,True,False,78,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S4@FeN4-PC,Na2S4,FeN4,C–C,1.4261,PC,False,False,78,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S4@FeN4-PC,Na2S4,FeN4,C–N,1.4261,PC,False,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S4@FeN4-PC,Na2S4,FeN4,N–Fe,1.8865,PC,False,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S4@FeN4-glyme,Na2S4,FeN4,C–N,1.4261,Glyme,False,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S4@FeN4-glyme,Na2S4,FeN4,C–C,1.4261,Glyme,False,False,78,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S4@FeN4-glyme,Na2S4,FeN4,N–Fe,1.8865,Glyme,False,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S6@FeN4,Na2S6,FeN4,C–C,1.4261,Vacuum,True,False,78,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S6@FeN4,Na2S6,FeN4,N–Fe,1.8865,Vacuum,True,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S6@FeN4,Na2S6,FeN4,C–N,1.4261,Vacuum,True,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S6@FeN4-PC,Na2S6,FeN4,N–Fe,1.8865,PC,False,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S6@FeN4-PC,Na2S6,FeN4,C–N,1.4261,PC,False,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S6@FeN4-PC,Na2S6,FeN4,C–C,1.4261,PC,False,False,78,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S6@FeN4-glyme,Na2S6,FeN4,N–Fe,1.8865,Glyme,False,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S6@FeN4-glyme,Na2S6,FeN4,C–N,1.4261,Glyme,False,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S6@FeN4-glyme,Na2S6,FeN4,C–C,1.4261,Glyme,False,False,78,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S8@FeN4,Na2S8,FeN4,N–Fe,1.8865,Vacuum,False,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S8@FeN4,Na2S8,FeN4,C–N,1.4261,Vacuum,False,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S8@FeN4,Na2S8,FeN4,C–C,1.4261,Vacuum,False,False,78,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S8@FeN4-PC,Na2S8,FeN4,C–C,1.4261,PC,False,False,78,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S8@FeN4-PC,Na2S8,FeN4,C–N,1.4261,PC,False,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S8@FeN4-PC,Na2S8,FeN4,N–Fe,1.8865,PC,False,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S8@FeN4-glyme,Na2S8,FeN4,C–N,1.4261,Glyme,False,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S8@FeN4-glyme,Na2S8,FeN4,C–C,1.4261,Glyme,False,False,78,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S8@FeN4-glyme,Na2S8,FeN4,N–Fe,1.8865,Glyme,False,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S@FeN4,Na2S,FeN4,C–N,1.4261,Vacuum,True,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S@FeN4,Na2S,FeN4,C–C,1.4261,Vacuum,True,False,72,1.4261,0.0000,0.0000,0.0000,-2.0857
Na2S@FeN4,Na2S,FeN4,N–Fe,1.8865,Vacuum,True,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S@FeN4-PC,Na2S,FeN4,C–C,1.4261,PC,True,False,72,1.4261,0.0000,0.0000,0.0000,-2.0857
Na2S@FeN4-PC,Na2S,FeN4,C–N,1.4261,PC,True,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S@FeN4-PC,Na2S,FeN4,N–Fe,1.8865,PC,True,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S@FeN4-glyme,Na2S,FeN4,C–C,1.4261,Glyme,True,False,72,1.4261,0.0000,0.0000,0.0000,-2.0857
Na2S@FeN4-glyme,Na2S,FeN4,C–N,1.4261,Glyme,True,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S@FeN4-glyme,Na2S,FeN4,N–Fe,1.8865,Glyme,True,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
