name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–C,1.4261,PC,True,True,93,1.4261,0.0000,0.0000,0.0000,-0.6007
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–N,1.4261,PC,True,True,3,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,C–C,1.4261,Glyme,True,True,93,1.4261,0.0000,0.0000,0.0000,-0.6007
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,C–N,1.4261,Glyme,True,True,3,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@N_graphene-vdw,Na2S2,N_graphene,C–C,1.4261,Vacuum,True,True,93,1.4261,0.0000,0.0000,0.0000,-0.6007
Na2S2@N_graphene-vdw,Na2S2,N_graphene,C–N,1.4261,Vacuum,True,True,3,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S4@N_graphene-PC-vdw,Na2S4,N_graphene,C–C,1.4261,PC,True,True,93,1.4261,0.0000,0.0000,0.0000,-0.6007
Na2S4@N_graphene-PC-vdw,Na2S4,N_graphene,C–N,1.4261,PC,True,True,3,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene,C–C,1.4261,Glyme,True,True,93,1.4261,0.0000,0.0000,0.0000,-0.6007
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene,C–N,1.4261,Glyme,True,True,3,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S4@N_graphene-vdw,Na2S4,N_graphene,C–C,1.4261,Vacuum,True,True,93,1.4261,0.0000,0.0000,0.0000,-0.6007
Na2S4@N_graphene-vdw,Na2S4,N_graphene,C–N,1.4261,Vacuum,True,True,3,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S6@N_graphene-PC-vdw,Na2S6,N_graphene,C–N,1.4288,PC,True,True,3,1.4287,0.0003,0.0003,0.0002,1.2943
Na2S6@N_graphene-PC-vdw,Na2S6,N_graphene,C–C,1.4260,PC,True,True,93,1.4258,0.0006,0.0006,0.0001,2.5792
Na2S6@N_graphene-glyme-vdw,Na2S6,N_graphene,C–C,1.4260,Glyme,True,True,93,1.4258,0.0006,0.0006,0.0001,2.5792
Na2S6@N_graphene-glyme-vdw,Na2S6,N_graphene,C–N,1.4288,Glyme,True,True,3,1.4287,0.0003,0.0003,0.0002,1.2943
Na2S6@N_graphene-vdw,Na2S6,N_graphene,C–C,1.4260,Vacuum,False,True,93,1.4258,0.0006,0.0006,0.0001,2.5792
Na2S6@N_graphene-vdw,Na2S6,N_graphene,C–N,1.4288,Vacuum,False,True,3,1.4287,0.0003,0.0003,0.0002,1.2943
Na2S8@N_graphene,Na2S8,N_graphene,C–C,1.4260,Vacuum,True,True,93,1.4258,0.0006,0.0006,0.0001,2.5792
Na2S8@N_graphene,Na2S8,N_graphene,C–N,1.4288,Vacuum,True,True,3,1.4287,0.0003,0.0003,0.0002,1.2943
Na2S8@N_graphene-PC-vdw,Na2S8,N_graphene,C–C,1.4260,PC,False,True,93,1.4258,0.0006,0.0006,0.0001,2.5792
Na2S8@N_graphene-PC-vdw,Na2S8,N_graphene,C–N,1.4288,PC,False,True,3,1.4287,0.0003,0.0003,0.0002,1.2943
Na2S8@N_graphene-glyme-vdw,Na2S8,N_graphene,C–C,1.4260,Glyme,False,True,93,1.4258,0.0006,0.0006,0.0001,2.5792
Na2S8@N_graphene-glyme-vdw,Na2S8,N_graphene,C–N,1.4288,Glyme,False,True,3,1.4287,0.0003,0.0003,0.0002,1.2943
Na2S@N_graphene-PC-vdw,Na2S,N_graphene,C–C,1.4261,PC,True,True,88,1.4261,0.0000,0.0000,0.0000,0.8400
Na2S@N_graphene-PC-vdw,Na2S,N_graphene,C–N,1.4261,PC,True,True,3,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S@N_graphene-glyme-vdw,Na2S,N_graphene,C–C,1.4261,Glyme,False,True,88,1.4261,0.0000,0.0000,0.0000,0.8400
Na2S@N_graphene-glyme-vdw,Na2S,N_graphene,C–N,1.4261,Glyme,False,True,3,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S@N_graphene-vdw,Na2S,N_graphene,C–C,1.4261,Vacuum,False,True,88,1.4261,0.0000,0.0000,0.0000,0.8400
Na2S@N_graphene-vdw,Na2S,N_graphene,C–N,1.4261,Vacuum,False,True,3,1.4261,0.0000,0.0000,0.0000,0.0000
