name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–Ni,4.0139,Vacuum,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,2.8504,Vacuum,False,False,226,2.3943,0.5619,0.5607,0.0374,0.4186
Na2S2@NiS2_S,Na2S2,NiS2_S,S–S,3.1858,Vacuum,False,False,169,3.2785,0.3220,0.3210,0.0248,-3.2039
Na2S2@NiS2_S-PC,Na2S2,NiS2_S,Ni–Ni,4.0139,PC,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S-PC,Na2S2,NiS2_S,Ni–S,2.8504,PC,False,False,226,2.3943,0.5619,0.5607,0.0374,0.4186
Na2S2@NiS2_S-PC,Na2S2,NiS2_S,S–S,3.1858,PC,False,False,169,3.2785,0.3220,0.3210,0.0248,-3.2039
Na2S2@NiS2_S-glyme,Na2S2,NiS2_S,Ni–Ni,4.0139,Glyme,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S-glyme,Na2S2,NiS2_S,Ni–S,2.8504,Glyme,False,False,226,2.3943,0.5619,0.5607,0.0374,0.4186
Na2S2@NiS2_S-glyme,Na2S2,NiS2_S,S–S,3.1858,Glyme,False,False,169,3.2785,0.3220,0.3210,0.0248,-3.2039
Na2S4@NiS2_S,Na2S4,NiS2_S,S–S,3.1858,Vacuum,False,False,169,3.2785,0.3220,0.3210,0.0248,-3.2039
Na2S4@NiS2_S,Na2S4,NiS2_S,Ni–S,2.8504,Vacuum,False,False,226,2.3943,0.5619,0.5607,0.0374,0.4186
Na2S4@NiS2_S,Na2S4,NiS2_S,Ni–Ni,4.0139,Vacuum,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S4@NiS2_S-PC,Na2S4,NiS2_S,Ni–Ni,4.0139,PC,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S4@NiS2_S-PC,Na2S4,NiS2_S,Ni–S,2.8504,PC,False,False,226,2.3943,0.5619,0.5607,0.0374,0.4186
Na2S4@NiS2_S-PC,Na2S4,NiS2_S,S–S,3.1858,PC,False,False,169,3.2785,0.3220,0.3210,0.0248,-3.2039
Na2S4@NiS2_S-glyme,Na2S4,NiS2_S,Ni–S,2.8504,Glyme,False,False,226,2.3943,0.5619,0.5607,0.0374,0.4186
Na2S4@NiS2_S-glyme,Na2S4,NiS2_S,Ni–Ni,4.0139,Glyme,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S4@NiS2_S-glyme,Na2S4,NiS2_S,S–S,3.1858,Glyme,False,False,169,3.2785,0.3220,0.3210,0.0248,-3.2039
Na2S6@NiS2_S,Na2S6,NiS2_S,Ni–Ni,4.0139,Vacuum,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S6@NiS2_S,Na2S6,NiS2_S,S–S,3.1858,Vacuum,False,False,169,3.2785,0.3220,0.3210,0.0248,-3.2039
Na2S6@NiS2_S,Na2S6,NiS2_S,Ni–S,2.8504,Vacuum,False,False,226,2.3943,0.5619,0.5607,0.0374,0.4186
Na2S6@NiS2_S-PC,Na2S6,NiS2_S,S–S,3.1858,PC,False,False,169,3.2785,0.3220,0.3210,0.0248,-3.2039
Na2S6@NiS2_S-PC,Na2S6,NiS2_S,Ni–S,2.8504,PC,False,False,226,2.3943,0.5619,0.5607,0.0374,0.4186
Na2S6@NiS2_S-PC,Na2S6,NiS2_S,Ni–Ni,4.0139,PC,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S6@NiS2_S-glyme,Na2S6,NiS2_S,S–S,3.1858,Glyme,False,False,169,3.2785,0.3220,0.3210,0.0248,-3.2039
Na2S6@NiS2_S-glyme,Na2S6,NiS2_S,Ni–S,2.8504,Glyme,False,False,226,2.3943,0.5619,0.5607,0.0374,0.4186
Na2S6@NiS2_S-glyme,Na2S6,NiS2_S,Ni–Ni,4.0139,Glyme,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S8@NiS2_S,Na2S8,NiS2_S,S–S,3.1858,Vacuum,False,False,169,3.2785,0.3220,0.3210,0.0248,-3.2039
Na2S8@NiS2_S,Na2S8,NiS2_S,Ni–S,2.8504,Vacuum,False,False,226,2.3943,0.5619,0.5607,0.0374,0.4186
Na2S8@NiS2_S,Na2S8,NiS2_S,Ni–Ni,4.0139,Vacuum,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S8@NiS2_S-PC,Na2S8,NiS2_S,Ni–Ni,4.0139,PC,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S8@NiS2_S-PC,Na2S8,NiS2_S,Ni–S,2.8504,PC,False,False,226,2.3943,0.5619,0.5607,0.0374,0.4186
Na2S8@NiS2_S-PC,Na2S8,NiS2_S,S–S,3.1858,PC,False,False,169,3.2785,0.3220,0.3210,0.0248,-3.2039
Na2S8@NiS2_S-glyme,Na2S8,NiS2_S,Ni–S,2.8504,Glyme,False,False,226,2.3943,0.5619,0.5607,0.0374,0.4186
Na2S8@NiS2_S-glyme,Na2S8,NiS2_S,Ni–Ni,4.0139,Glyme,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S8@NiS2_S-glyme,Na2S8,NiS2_S,S–S,3.1858,Glyme,False,False,169,3.2785,0.3220,0.3210,0.0248,-3.2039
Na2S@NiS2_S,Na2S,NiS2_S,Ni–S,2.8504,Vacuum,False,False,226,2.3943,0.5619,0.5607,0.0374,0.4186
Na2S@NiS2_S,Na2S,NiS2_S,Ni–Ni,4.0139,Vacuum,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S@NiS2_S,Na2S,NiS2_S,S–S,3.1858,Vacuum,False,False,169,3.2785,0.3220,0.3210,0.0248,-3.2039
Na2S@NiS2_S-PC,Na2S,NiS2_S,Ni–Ni,4.0139,PC,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S@NiS2_S-PC,Na2S,NiS2_S,Ni–S,2.8504,PC,False,False,226,2.3943,0.5619,0.5607,0.0374,0.4186
Na2S@NiS2_S-PC,Na2S,NiS2_S,S–S,3.1858,PC,False,False,169,3.2785,0.3220,0.3210,0.0248,-3.2039
Na2S@NiS2_S-glyme,Na2S,NiS2_S,Ni–Ni,4.0139,Glyme,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S@NiS2_S-glyme,Na2S,NiS2_S,Ni–S,2.8504,Glyme,False,False,226,2.3943,0.5619,0.5607,0.0374,0.4186
Na2S@NiS2_S-glyme,Na2S,NiS2_S,S–S,3.1858,Glyme,False,False,169,3.2785,0.3220,0.3210,0.0248,-3.2039
