name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@NiS2,Na2S2,NiS2,Ni–S,2.3943,Vacuum,False,False,136,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2,Na2S2,NiS2,S–S,2.0738,Vacuum,False,False,13,2.0738,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2-PC,Na2S2,NiS2,Ni–S,2.3943,PC,False,False,136,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2-PC,Na2S2,NiS2,S–S,2.0738,PC,False,False,13,2.0738,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2-glyme,Na2S2,NiS2,S–S,2.0738,Glyme,False,False,13,2.0738,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2-glyme,Na2S2,NiS2,Ni–S,2.3943,Glyme,False,False,136,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S4@NiS2,Na2S4,NiS2,Ni–S,2.3943,Vacuum,False,False,136,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S4@NiS2,Na2S4,NiS2,S–S,2.0738,Vacuum,False,False,13,2.0738,0.0000,0.0000,0.0000,0.0000
Na2S4@NiS2-PC,Na2S4,NiS2,S–S,2.0738,PC,False,False,13,2.0738,0.0000,0.0000,0.0000,0.0000
Na2S4@NiS2-PC,Na2S4,NiS2,Ni–S,2.3943,PC,False,False,136,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S4@NiS2-glyme,Na2S4,NiS2,Ni–S,2.3943,Glyme,False,False,136,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S4@NiS2-glyme,Na2S4,NiS2,S–S,2.0738,Glyme,False,False,13,2.0738,0.0000,0.0000,0.0000,0.0000
Na2S6@NiS2,Na2S6,NiS2,Ni–S,2.3943,Vacuum,False,False,136,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S6@NiS2,Na2S6,NiS2,S–S,2.0738,Vacuum,False,False,13,2.0738,0.0000,0.0000,0.0000,0.0000
Na2S6@NiS2-PC,Na2S6,NiS2,Ni–S,2.3943,PC,False,False,136,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S6@NiS2-PC,Na2S6,NiS2,S–S,2.0738,PC,False,False,13,2.0738,0.0000,0.0000,0.0000,0.0000
Na2S6@NiS2-glyme,Na2S6,NiS2,S–S,2.0738,Glyme,False,False,13,2.0738,0.0000,0.0000,0.0000,0.0000
Na2S6@NiS2-glyme,Na2S6,NiS2,Ni–S,2.3943,Glyme,False,False,136,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S8@NiS2,Na2S8,NiS2,Ni–S,2.3943,Vacuum,False,False,136,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S8@NiS2,Na2S8,NiS2,S–S,2.0738,Vacuum,False,False,13,2.0738,0.0000,0.0000,0.0000,0.0000
Na2S8@NiS2-PC,Na2S8,NiS2,Ni–S,2.3943,PC,False,False,136,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S8@NiS2-PC,Na2S8,NiS2,S–S,2.0738,PC,False,False,13,2.0738,0.0000,0.0000,0.0000,0.0000
Na2S8@NiS2-glyme,Na2S8,NiS2,Ni–S,2.3943,Glyme,False,False,136,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S8@NiS2-glyme,Na2S8,NiS2,S–S,2.0738,Glyme,False,False,13,2.0738,0.0000,0.0000,0.0000,0.0000
Na2S@NiS2,Na2S,NiS2,S–S,2.0738,Vacuum,False,False,13,2.0738,0.0000,0.0000,0.0000,0.0000
Na2S@NiS2,Na2S,NiS2,Ni–S,2.3943,Vacuum,False,False,136,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S@NiS2-PC,Na2S,NiS2,Ni–S,2.3943,PC,False,False,136,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S@NiS2-PC,Na2S,NiS2,S–S,2.0738,PC,False,False,13,2.0738,0.0000,0.0000,0.0000,0.0000
Na2S@NiS2-glyme,Na2S,NiS2,Ni–S,2.3943,Glyme,False,False,136,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S@NiS2-glyme,Na2S,NiS2,S–S,2.0738,Glyme,False,False,13,2.0738,0.0000,0.0000,0.0000,0.0000
