name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@TiO2,Na2S2,TiO2,Ti–Ti,4.0710,Vacuum,True,False,49,3.5692,0.5175,0.5122,0.0739,0.0421
Na2S2@TiO2,Na2S2,TiO2,Ti–O,2.6348,Vacuum,True,False,109,1.9834,0.7586,0.7551,0.0727,0.2426
Na2S2@TiO2-PC,Na2S2,TiO2,Ti–Ti,4.0710,PC,False,False,49,3.5692,0.5175,0.5122,0.0739,0.0421
Na2S2@TiO2-PC,Na2S2,TiO2,Ti–O,2.6348,PC,False,False,109,1.9834,0.7586,0.7551,0.0727,0.2426
Na2S2@TiO2-glyme,Na2S2,TiO2,Ti–Ti,4.0710,Glyme,False,False,49,3.5692,0.5175,0.5122,0.0739,0.0421
Na2S2@TiO2-glyme,Na2S2,TiO2,Ti–O,2.6348,Glyme,False,False,109,1.9834,0.7586,0.7551,0.0727,0.2426
Na2S4@TiO2,Na2S4,TiO2,Ti–Ti,4.0710,Vacuum,True,False,49,3.5692,0.5175,0.5122,0.0739,0.0421
Na2S4@TiO2,Na2S4,TiO2,Ti–O,2.6348,Vacuum,True,False,109,1.9834,0.7586,0.7551,0.0727,0.2426
Na2S4@TiO2-PC,Na2S4,TiO2,Ti–Ti,4.0710,PC,False,False,49,3.5692,0.5175,0.5122,0.0739,0.0421
Na2S4@TiO2-PC,Na2S4,TiO2,Ti–O,2.6348,PC,False,False,109,1.9834,0.7586,0.7551,0.0727,0.2426
Na2S4@TiO2-glyme,Na2S4,TiO2,Ti–Ti,4.0710,Glyme,False,False,49,3.5692,0.5175,0.5122,0.0739,0.0421
Na2S4@TiO2-glyme,Na2S4,TiO2,Ti–O,2.6348,Glyme,False,False,109,1.9834,0.7586,0.7551,0.0727,0.2426
Na2S6@TiO2,Na2S6,TiO2,Ti–O,2.6348,Vacuum,True,False,109,1.9834,0.7586,0.7551,0.0727,0.2426
Na2S6@TiO2,Na2S6,TiO2,Ti–Ti,4.0710,Vacuum,True,False,49,3.5692,0.5175,0.5122,0.0739,0.0421
Na2S6@TiO2-PC,Na2S6,TiO2,Ti–O,2.6348,PC,False,False,109,1.9834,0.7586,0.7551,0.0727,0.2426
Na2S6@TiO2-PC,Na2S6,TiO2,Ti–Ti,4.0710,PC,False,False,49,3.5692,0.5175,0.5122,0.0739,0.0421
Na2S6@TiO2-glyme,Na2S6,TiO2,Ti–O,2.6348,Glyme,False,False,109,1.9834,0.7586,0.7551,0.0727,0.2426
Na2S6@TiO2-glyme,Na2S6,TiO2,Ti–Ti,4.0710,Glyme,False,False,49,3.5692,0.5175,0.5122,0.0739,0.0421
Na2S8@TiO2,Na2S8,TiO2,Ti–Ti,4.0710,Vacuum,True,False,49,3.5692,0.5175,0.5122,0.0739,0.0421
Na2S8@TiO2,Na2S8,TiO2,Ti–O,2.6348,Vacuum,True,False,109,1.9834,0.7586,0.7551,0.0727,0.2426
Na2S8@TiO2-PC,Na2S8,TiO2,Ti–Ti,4.0710,PC,False,False,49,3.5692,0.5175,0.5122,0.0739,0.0421
Na2S8@TiO2-PC,Na2S8,TiO2,Ti–O,2.6348,PC,False,False,109,1.9834,0.7586,0.7551,0.0727,0.2426
Na2S8@TiO2-glyme,Na2S8,TiO2,Ti–Ti,4.0710,Glyme,False,False,49,3.5692,0.5175,0.5122,0.0739,0.0421
Na2S8@TiO2-glyme,Na2S8,TiO2,Ti–O,2.6348,Glyme,False,False,109,1.9834,0.7586,0.7551,0.0727,0.2426
Na2S@TiO2,Na2S,TiO2,Ti–Ti,4.0762,Vacuum,True,False,97,3.5692,0.5149,0.5123,0.0523,0.0209
Na2S@TiO2,Na2S,TiO2,Ti–O,2.6635,Vacuum,True,False,209,1.9834,0.7599,0.7581,0.0526,0.1634
Na2S@TiO2-PC,Na2S,TiO2,Ti–Ti,4.0710,PC,False,False,49,3.5692,0.5175,0.5122,0.0739,0.0421
Na2S@TiO2-PC,Na2S,TiO2,Ti–O,2.6348,PC,False,False,109,1.9834,0.7586,0.7551,0.0727,0.2426
Na2S@TiO2-glyme,Na2S,TiO2,Ti–Ti,4.0710,Glyme,True,False,49,3.5692,0.5175,0.5122,0.0739,0.0421
Na2S@TiO2-glyme,Na2S,TiO2,Ti–O,2.6348,Glyme,True,False,109,1.9834,0.7586,0.7551,0.0727,0.2426
