name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
FeN4,,FeN4,C–N,1.4261,Vacuum,True,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4,,FeN4,N–Fe,1.8865,Vacuum,True,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4,,FeN4,C–Fe,2.9846,Vacuum,True,False,10,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4,,FeN4,C–C,1.4261,Vacuum,True,False,72,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-PC,,FeN4,N–Fe,1.8865,PC,True,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4-PC,,FeN4,C–Fe,2.9846,PC,True,False,10,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-PC,,FeN4,C–N,1.4261,PC,True,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-PC,,FeN4,C–C,1.4261,PC,True,False,72,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-PC-elecmin,,FeN4,C–Fe,2.9846,PC,False,False,10,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-PC-elecmin,,FeN4,N–Fe,1.8865,PC,False,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4-PC-elecmin,,FeN4,C–C,1.4261,PC,False,False,72,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-PC-elecmin,,FeN4,C–N,1.4261,PC,False,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-PC-vdw,,FeN4_vdw,C–C,1.4261,PC,True,True,72,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-PC-vdw,,FeN4_vdw,N–Fe,1.8865,PC,True,True,4,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4-PC-vdw,,FeN4_vdw,C–N,1.4261,PC,True,True,8,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-PC-vdw,,FeN4_vdw,C–Fe,2.9846,PC,True,True,10,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-PC-vdw-elecmin,,FeN4_vdw,N–Fe,1.8865,PC,False,True,4,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4-PC-vdw-elecmin,,FeN4_vdw,C–Fe,2.9846,PC,False,True,10,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-PC-vdw-elecmin,,FeN4_vdw,C–N,1.4261,PC,False,True,8,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-PC-vdw-elecmin,,FeN4_vdw,C–C,1.4261,PC,False,True,72,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-elecmin,,FeN4,C–C,1.4261,Vacuum,False,False,72,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-elecmin,,FeN4,C–N,1.4261,Vacuum,False,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-elecmin,,FeN4,C–Fe,2.9846,Vacuum,False,False,10,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-elecmin,,FeN4,N–Fe,1.8865,Vacuum,False,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4-glyme,,FeN4,C–Fe,2.9846,Glyme,True,False,10,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-glyme,,FeN4,C–N,1.4261,Glyme,True,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-glyme,,FeN4,C–C,1.4261,Glyme,True,False,72,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-glyme,,FeN4,N–Fe,1.8865,Glyme,True,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4-glyme-elecmin,,FeN4,C–C,1.4261,Glyme,False,False,72,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-glyme-elecmin,,FeN4,C–N,1.4261,Glyme,False,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-glyme-elecmin,,FeN4,N–Fe,1.8865,Glyme,False,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4-glyme-elecmin,,FeN4,C–Fe,2.9846,Glyme,False,False,10,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-glyme-vdw,,FeN4_vdw,C–C,1.4261,Glyme,True,True,72,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-glyme-vdw,,FeN4_vdw,C–N,1.4261,Glyme,True,True,8,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-glyme-vdw,,FeN4_vdw,C–Fe,2.9846,Glyme,True,True,10,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-glyme-vdw,,FeN4_vdw,N–Fe,1.8865,Glyme,True,True,4,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4-glyme-vdw-elecmin,,FeN4_vdw,C–N,1.4261,Glyme,False,True,8,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-glyme-vdw-elecmin,,FeN4_vdw,C–Fe,2.9846,Glyme,False,True,10,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-glyme-vdw-elecmin,,FeN4_vdw,N–Fe,1.8865,Glyme,False,True,4,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4-glyme-vdw-elecmin,,FeN4_vdw,C–C,1.4261,Glyme,False,True,72,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-vdw,,FeN4_vdw,C–C,1.4261,Vacuum,True,True,72,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-vdw,,FeN4_vdw,C–N,1.4261,Vacuum,True,True,8,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-vdw,,FeN4_vdw,C–Fe,2.9846,Vacuum,True,True,10,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-vdw,,FeN4_vdw,N–Fe,1.8865,Vacuum,True,True,4,1.8865,0.0013,0.0011,0.0006,0.0018
N_graphene-PC-elecmin,,N_graphene,C–C,1.5438,PC,False,False,105,1.4267,0.3288,0.3272,0.0321,2.4597
N_graphene-PC-elecmin,,N_graphene,C–N,1.4138,PC,False,False,3,1.4138,0.0000,0.0000,0.0000,0.0000
N_graphene-PC-elecmin-vdw,,N_graphene_vdw,C–N,1.4138,PC,False,True,3,1.4138,0.0000,0.0000,0.0000,0.0000
N_graphene-PC-elecmin-vdw,,N_graphene_vdw,C–C,1.5438,PC,False,True,105,1.4267,0.3288,0.3272,0.0321,2.4597
N_graphene-PC-vdw,,N_graphene_vdw,C–N,1.4288,PC,True,True,3,1.4287,0.0003,0.0003,0.0002,1.2943
N_graphene-PC-vdw,,N_graphene_vdw,C–C,1.4260,PC,True,True,93,1.4258,0.0006,0.0006,0.0001,2.5792
N_graphene-elecmin,,N_graphene,C–C,1.4260,Vacuum,False,False,93,1.4258,0.0006,0.0006,0.0001,2.5792
N_graphene-elecmin,,N_graphene,C–N,1.4288,Vacuum,False,False,3,1.4287,0.0003,0.0003,0.0002,1.2943
N_graphene-elecmin-vdw,,N_graphene_vdw,C–N,1.4288,Vacuum,False,True,3,1.4287,0.0003,0.0003,0.0002,1.2943
N_graphene-elecmin-vdw,,N_graphene_vdw,C–C,1.4260,Vacuum,False,True,93,1.4258,0.0006,0.0006,0.0001,2.5792
N_graphene-glyme-elecmin,,N_graphene,C–N,1.4138,Glyme,False,False,3,1.4138,0.0000,0.0000,0.0000,0.0000
N_graphene-glyme-elecmin,,N_graphene,C–C,1.5438,Glyme,False,False,105,1.4267,0.3288,0.3272,0.0321,2.4597
N_graphene-glyme-elecmin-vdw,,N_graphene_vdw,C–N,1.4138,Glyme,False,True,3,1.4138,0.0000,0.0000,0.0000,0.0000
N_graphene-glyme-elecmin-vdw,,N_graphene_vdw,C–C,1.5438,Glyme,False,True,105,1.4267,0.3288,0.3272,0.0321,2.4597
N_graphene-glyme-vdw,,N_graphene_vdw,C–N,1.4288,Glyme,True,True,3,1.4287,0.0003,0.0003,0.0002,1.2943
N_graphene-glyme-vdw,,N_graphene_vdw,C–C,1.4260,Glyme,True,True,93,1.4258,0.0006,0.0006,0.0001,2.5792
