name,NaPS,sorbent,solvent,energy,iteration,electronic_scf,vdw,oxidation_states
Na2S,Na2S,,Vacuum,-105.61493241897207,0.0,True,False,"[{'Element': 'S', 'Oxidation States': [-1.173]}, {'Element': 'Na', 'Oxidation States': [0.673, 0.673]}]"
Na2S-PC,Na2S,,PC,-105.83054418409657,14.0,True,False,"[{'Element': 'S', 'Oxidation States': [-1.676]}, {'Element': 'Na', 'Oxidation States': [0.962, 0.962]}]"
Na2S-PC-elecmin,Na2S,,PC,-105.83061050390783,13.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.686]}, {'Element': 'Na', 'Oxidation States': [0.968, 0.969]}]"
Na2S-PC-vdw,Na2S,,PC,-105.8453056690133,0.0,True,True,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]"
Na2S-PC-vdw-elecmin,Na2S,,PC,-105.83834553825429,1.0,False,True,"[{'Element': 'S', 'Oxidation States': [-1.667]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]"
Na2S-elecmin,Na2S,,Vacuum,-105.61493242046171,0.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.173]}, {'Element': 'Na', 'Oxidation States': [0.673, 0.673]}]"
Na2S-glyme,Na2S,,Glyme,-105.65917248659142,0.0,True,False,"[{'Element': 'S', 'Oxidation States': [-1.413]}, {'Element': 'Na', 'Oxidation States': [0.818, 0.819]}]"
Na2S-glyme-elecmin,Na2S,,Glyme,-105.65917250565124,0.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.413]}, {'Element': 'Na', 'Oxidation States': [0.818, 0.819]}]"
Na2S-glyme-vdw,Na2S,,Glyme,-105.66006305322294,2.0,True,True,"[{'Element': 'S', 'Oxidation States': [-1.413]}, {'Element': 'Na', 'Oxidation States': [0.818, 0.819]}]"
Na2S-glyme-vdw-elecmin,Na2S,,Glyme,-105.66006305531023,0.0,False,True,"[{'Element': 'S', 'Oxidation States': [-1.413]}, {'Element': 'Na', 'Oxidation States': [0.818, 0.819]}]"
Na2S-vdw,Na2S,,Vacuum,-105.61577022639933,0.0,True,True,"[{'Element': 'S', 'Oxidation States': [-1.173]}, {'Element': 'Na', 'Oxidation States': [0.673, 0.673]}]"
Na2S-vdw-elecmin,Na2S,,Vacuum,-105.61577022784212,0.0,False,True,"[{'Element': 'S', 'Oxidation States': [-1.173]}, {'Element': 'Na', 'Oxidation States': [0.673, 0.673]}]"
Na2S2,Na2S2,,Vacuum,-115.92161553252713,0.0,True,False,"[{'Element': 'S', 'Oxidation States': [-0.704, -0.704]}, {'Element': 'Na', 'Oxidation States': [0.81, 0.81]}]"
Na2S2-PC,Na2S2,,PC,-116.12923005686692,10.0,True,False,"[{'Element': 'S', 'Oxidation States': [-0.857, -0.857]}, {'Element': 'Na', 'Oxidation States': [0.97, 0.97]}]"
Na2S2-PC-elecmin,Na2S2,,PC,-116.12928945333304,18.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.863, -0.862]}, {'Element': 'Na', 'Oxidation States': [0.975, 0.975]}]"
Na2S2-PC-vdw,Na2S2,,PC,-116.13569789448705,9.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]"
Na2S2-PC-vdw-elecmin,Na2S2,,PC,-116.13569817727223,1.0,False,True,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.961, 0.961]}]"
Na2S2-elecmin,Na2S2,,Vacuum,-115.92161553704018,0.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.704, -0.704]}, {'Element': 'Na', 'Oxidation States': [0.81, 0.81]}]"
Na2S2-glyme,Na2S2,,Glyme,-115.97306400328378,8.0,True,False,"[{'Element': 'S', 'Oxidation States': [-0.766, -0.766]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-elecmin,Na2S2,,Glyme,-115.97306294921134,10.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.766, -0.766]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97438846251998,17.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw-elecmin,Na2S2,,Glyme,-115.97439337829792,5.0,False,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-vdw,Na2S2,,Vacuum,-115.92278271907915,1.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.704, -0.704]}, {'Element': 'Na', 'Oxidation States': [0.81, 0.81]}]"
Na2S2-vdw-elecmin,Na2S2,,Vacuum,-115.92278271850623,0.0,False,True,"[{'Element': 'S', 'Oxidation States': [-0.704, -0.704]}, {'Element': 'Na', 'Oxidation States': [0.81, 0.81]}]"
Na2S4,Na2S4,,Vacuum,-136.53047321610237,0.0,True,False,"[{'Element': 'S', 'Oxidation States': [-0.583, 0.005, 0.004, -0.583]}, {'Element': 'Na', 'Oxidation States': [0.765, 0.765]}]"
