name,NaPS,sorbent,solvent,energy,iteration,electronic_scf,vdw,oxidation_states
Na2S2@FeN4,Na2S2,FeN4,Vacuum,-657.1684353400015,31.0,True,False,"[{'Element': 'C', 'Oxidation States': [0.038, 0.029, 0.029, 0.027, 0.035, -0.016, 0.032, 0.031, 0.095, 0.036, 0.037, 0.034, 0.042, 0.039, -0.003, 0.042, 0.04, 0.026, 0.123, 0.039, 0.033, 0.034, 0.002, 0.044, 0.032, 0.035, 0.033, 0.036, 0.093, 0.03, 0.037, 0.127, 0.043, 0.025, 0.039, 0.031, 0.044, 0.013, 0.034, 0.033, 0.091, 0.044, 0.036, 0.038, 0.038, 0.036, 0.01, 0.034, 0.025, 0.143, 0.032, 0.037, 0.047, 0.124, 0.034, 0.029, 0.036, -0.051, 0.026, 0.042, 0.087, 0.039, 0.041, 0.037, 0.036, 0.016]}, {'Element': 'N', 'Oxidation States': [-0.157, -0.122, -0.144, -0.145]}, {'Element': 'Fe', 'Oxidation States': [-0.009]}, {'Element': 'S', 'Oxidation States': [-0.522, -0.098]}, {'Element': 'Na', 'Oxidation States': [0.846, 0.846]}]"
Na2S2@FeN4-PC,Na2S2,FeN4,PC,-657.3635749726221,62.0,False,False,"[{'Element': 'C', 'Oxidation States': [0.024, 0.014, 0.018, 0.016, 0.019, 0.007, 0.019, 0.015, 0.128, 0.021, 0.02, 0.019, 0.026, 0.02, -0.015, 0.031, 0.025, 0.01, 0.11, 0.021, 0.016, 0.018, 0.017, 0.028, 0.031, 0.018, 0.016, 0.019, 0.13, 0.019, 0.021, 0.12, 0.032, 0.018, 0.025, 0.018, 0.033, 0.008, 0.02, 0.018, 0.128, 0.027, 0.02, 0.02, 0.021, 0.019, 0.03, 0.019, 0.013, 0.129, 0.018, 0.02, 0.032, 0.109, 0.016, 0.016, 0.02, -0.016, 0.014, 0.026, 0.116, 0.021, 0.026, 0.02, 0.018, 0.009]}, {'Element': 'N', 'Oxidation States': [-0.134, -0.137, -0.136, -0.131]}, {'Element': 'Fe', 'Oxidation States': [0.183]}, {'Element': 'S', 'Oxidation States': [-0.575, -0.023]}, {'Element': 'Na', 'Oxidation States': [0.979, 0.982]}]"
Na2S2@FeN4-glyme,Na2S2,FeN4,Glyme,-657.2214416067656,30.0,False,False,"[{'Element': 'C', 'Oxidation States': [0.031, 0.021, 0.024, 0.024, 0.026, 0.003, 0.026, 0.023, 0.124, 0.03, 0.028, 0.026, 0.033, 0.03, -0.01, 0.035, 0.033, 0.016, 0.118, 0.03, 0.025, 0.026, 0.023, 0.035, 0.034, 0.026, 0.028, 0.027, 0.128, 0.026, 0.028, 0.13, 0.04, 0.022, 0.032, 0.025, 0.036, 0.011, 0.027, 0.025, 0.11, 0.035, 0.026, 0.03, 0.029, 0.027, 0.03, 0.026, 0.02, 0.135, 0.025, 0.028, 0.038, 0.118, 0.025, 0.026, 0.027, -0.017, 0.021, 0.033, 0.12, 0.031, 0.033, 0.033, 0.027, 0.015]}, {'Element': 'N', 'Oxidation States': [-0.135, -0.126, -0.128, -0.123]}, {'Element': 'Fe', 'Oxidation States': [-0.002]}, {'Element': 'S', 'Oxidation States': [-0.548, -0.08]}, {'Element': 'Na', 'Oxidation States': [0.905, 0.9]}]"
Na2S4@FeN4,Na2S4,FeN4,Vacuum,-677.7465434355818,88.0,True,False,"[{'Element': 'C', 'Oxidation States': [0.043, 0.035, 0.033, 0.033, 0.038, 0.022, 0.033, 0.035, 0.139, 0.035, 0.039, 0.028, 0.042, 0.039, 0.01, 0.048, 0.041, 0.028, 0.13, 0.039, 0.035, 0.034, 0.011, 0.046, 0.007, 0.037, 0.02, 0.037, 0.101, 0.004, 0.037, 0.081, 0.04, 0.037, 0.043, 0.035, 0.051, 0.024, 0.035, 0.036, 0.144, 0.042, 0.038, 0.039, 0.04, 0.035, 0.038, 0.038, 0.023, 0.15, 0.036, 0.038, 0.05, 0.132, 0.036, 0.019, 0.038, -0.037, -0.001, 0.044, 0.083, 0.038, 0.039, 0.013, 0.037, -0.008]}, {'Element': 'N', 'Oxidation States': [-0.13, -0.118, -0.121, -0.135]}, {'Element': 'Fe', 'Oxidation States': [-0.006]}, {'Element': 'S', 'Oxidation States': [-0.062, 0.017, 0.049, -0.52]}, {'Element': 'Na', 'Oxidation States': [0.781, 0.791]}]"
Na2S4@FeN4-PC,Na2S4,FeN4,PC,-677.935701389782,42.0,False,False,"[{'Element': 'C', 'Oxidation States': [0.031, 0.02, 0.024, 0.021, 0.025, 0.014, 0.023, 0.02, 0.137, 0.024, 0.025, 0.023, 0.031, 0.026, -0.008, 0.038, 0.03, 0.015, 0.118, 0.026, 0.022, 0.023, 0.021, 0.033, 0.037, 0.024, 0.02, 0.025, 0.14, 0.024, 0.025, 0.119, 0.042, 0.025, 0.031, 0.023, 0.039, 0.014, 0.023, 0.023, 0.135, 0.031, 0.025, 0.025, 0.026, 0.024, 0.036, 0.025, 0.018, 0.136, 0.023, 0.024, 0.038, 0.118, 0.021, 0.019, 0.025, -0.007, 0.018, 0.031, 0.116, 0.026, 0.031, 0.025, 0.023, 0.018]}, {'Element': 'N', 'Oxidation States': [-0.134, -0.134, -0.13, -0.129]}, {'Element': 'Fe', 'Oxidation States': [0.194]}, {'Element': 'S', 'Oxidation States': [-0.105, -0.031, -0.0, -0.623]}, {'Element': 'Na', 'Oxidation States': [0.973, 0.975]}]"
Na2S4@FeN4-glyme,Na2S4,FeN4,Glyme,-677.7884644540812,58.0,False,False,"[{'Element': 'C', 'Oxidation States': [0.037, 0.029, 0.03, 0.028, 0.032, 0.018, 0.028, 0.029, 0.142, 0.031, 0.033, 0.025, 0.036, 0.034, 0.004, 0.043, 0.036, 0.022, 0.126, 0.034, 0.03, 0.029, 0.017, 0.04, 0.021, 0.032, 0.024, 0.032, 0.135, 0.014, 0.033, 0.107, 0.045, 0.031, 0.038, 0.03, 0.045, 0.021, 0.03, 0.031, 0.14, 0.036, 0.032, 0.034, 0.034, 0.029, 0.037, 0.032, 0.022, 0.144, 0.031, 0.032, 0.044, 0.127, 0.03, 0.022, 0.032, -0.01, 0.004, 0.038, 0.098, 0.034, 0.035, 0.026, 0.033, 0.013]}, {'Element': 'N', 'Oxidation States': [-0.13, -0.122, -0.122, -0.124]}, {'Element': 'Fe', 'Oxidation States': [0.001]}, {'Element': 'S', 'Oxidation States': [-0.073, 0.015, 0.01, -0.561]}, {'Element': 'Na', 'Oxidation States': [0.844, 0.88]}]"
Na2S6@FeN4,Na2S6,FeN4,Vacuum,-698.2999284291055,42.0,True,False,"[{'Element': 'C', 'Oxidation States': [0.047, 0.036, 0.04, 0.04, 0.042, 0.025, 0.041, 0.037, 0.122, 0.045, 0.042, 0.041, 0.048, 0.045, -0.016, 0.05, 0.047, 0.026, 0.13, 0.045, 0.041, 0.04, 0.038, 0.049, 0.048, 0.04, 0.041, 0.043, 0.119, 0.041, 0.042, 0.133, 0.051, 0.04, 0.047, 0.042, 0.048, 0.026, 0.042, 0.04, 0.121, 0.049, 0.041, 0.045, 0.045, 0.043, 0.05, 0.041, 0.036, 0.12, 0.038, 0.042, 0.051, 0.133, 0.041, 0.041, 0.041, -0.016, 0.037, 0.047, 0.13, 0.045, 0.048, 0.04, 0.04, 0.026]}, {'Element': 'N', 'Oxidation States': [-0.153, -0.153, -0.152, -0.153]}, {'Element': 'Fe', 'Oxidation States': [0.047]}, {'Element': 'S', 'Oxidation States': [-0.304, 0.409, -0.397, -0.397, 0.409, -0.304]}, {'Element': 'Na', 'Oxidation States': [0.71, 0.71]}]"
Na2S6@FeN4-PC,Na2S6,FeN4,PC,-698.4816846671223,7.0,False,False,"[{'Element': 'C', 'Oxidation States': [0.041, 0.031, 0.035, 0.033, 0.035, 0.025, 0.034, 0.032, 0.149, 0.036, 0.034, 0.035, 0.042, 0.037, 0.008, 0.047, 0.04, 0.027, 0.131, 0.037, 0.033, 0.034, 0.032, 0.042, 0.047, 0.033, 0.033, 0.036, 0.15, 0.037, 0.035, 0.131, 0.049, 0.035, 0.041, 0.035, 0.047, 0.025, 0.034, 0.033, 0.149, 0.042, 0.037, 0.037, 0.036, 0.036, 0.047, 0.034, 0.031, 0.15, 0.032, 0.035, 0.049, 0.131, 0.033, 0.033, 0.035, 0.008, 0.032, 0.04, 0.131, 0.037, 0.042, 0.033, 0.034, 0.027]}, {'Element': 'N', 'Oxidation States': [-0.141, -0.14, -0.14, -0.139]}, {'Element': 'Fe', 'Oxidation States': [0.109]}, {'Element': 'S', 'Oxidation States': [-0.581, 0.079, -0.037, -0.038, 0.079, -0.582]}, {'Element': 'Na', 'Oxidation States': [0.975, 0.974]}]"
Na2S6@FeN4-glyme,Na2S6,FeN4,Glyme,-698.3431616256228,102.0,False,False,"[{'Element': 'C', 'Oxidation States': [0.044, 0.034, 0.04, 0.035, 0.039, 0.027, 0.038, 0.034, 0.153, 0.038, 0.037, 0.038, 0.043, 0.039, 0.011, 0.05, 0.042, 0.028, 0.135, 0.04, 0.037, 0.036, 0.032, 0.044, 0.05, 0.034, 0.034, 0.038, 0.151, 0.038, 0.036, 0.13, 0.046, 0.039, 0.044, 0.038, 0.05, 0.029, 0.036, 0.036, 0.152, 0.044, 0.039, 0.039, 0.04, 0.038, 0.047, 0.038, 0.035, 0.153, 0.035, 0.037, 0.049, 0.135, 0.037, 0.034, 0.037, 0.012, 0.035, 0.042, 0.131, 0.038, 0.043, 0.031, 0.034, 0.026]}, {'Element': 'N', 'Oxidation States': [-0.135, -0.133, -0.132, -0.135]}, {'Element': 'Fe', 'Oxidation States': [0.143]}, {'Element': 'S', 'Oxidation States': [-0.437, 0.351, -0.398, -0.394, 0.353, -0.433]}, {'Element': 'Na', 'Oxidation States': [0.831, 0.825]}]"
Na2S8@FeN4,Na2S8,FeN4,Vacuum,-718.8569160010801,92.0,False,False,"[{'Element': 'C', 'Oxidation States': [0.049, 0.041, 0.044, 0.042, 0.044, 0.032, 0.043, 0.041, 0.158, 0.046, 0.042, 0.043, 0.049, 0.045, 0.009, 0.053, 0.048, 0.034, 0.133, 0.046, 0.041, 0.044, 0.043, 0.049, 0.055, 0.039, 0.043, 0.044, 0.157, 0.044, 0.042, 0.141, 0.055, 0.044, 0.049, 0.044, 0.055, 0.033, 0.043, 0.041, 0.149, 0.049, 0.045, 0.046, 0.045, 0.045, 0.056, 0.043, 0.04, 0.145, 0.038, 0.044, 0.056, 0.129, 0.041, 0.044, 0.043, 0.016, 0.04, 0.047, 0.141, 0.045, 0.049, 0.041, 0.041, 0.034]}, {'Element': 'N', 'Oxidation States': [-0.137, -0.146, -0.129, -0.126]}, {'Element': 'Fe', 'Oxidation States': [0.088]}, {'Element': 'S', 'Oxidation States': [0.024, 0.107, -0.395, -0.389, 0.335, -0.274, 0.132, -0.388]}, {'Element': 'Na', 'Oxidation States': [0.665, 0.758]}]"
