name,NaPS,sorbent,solvent,energy,iteration,electronic_scf,vdw,oxidation_states
Na2S2@graphene_vdw,Na2S2,graphene_vdw,Vacuum,-527.2853863511739,28.0,True,True,"{'C': [0.04, 0.04, 0.039, 0.038, 0.039, 0.035, 0.04, 0.041, 0.037, 0.037, 0.036, -0.002, 0.04, 0.041, 0.017, 0.037, 0.039, 0.023, 0.039, 0.04, -0.017, 0.035, 0.013, 0.037, 0.039, 0.025, 0.04, 0.042, 0.022, 0.034, 0.04, 0.038, 0.04, 0.039, -0.003, 0.037, 0.039, 0.04, 0.04, 0.041, 0.033, 0.039, 0.034, 0.032, 0.041, 0.041, 0.026, 0.038, 0.032, 0.013, 0.04, 0.034, 0.04, 0.041, 0.042, -0.011, 0.039, 0.038, 0.01, 0.021, 0.034, 0.04, 0.041, 0.041, 0.038, -0.01, 0.037, 0.04, 0.011, 0.028, 0.039, 0.038], 'S': [-0.426, -0.424], 'Na': [0.841, 0.84]}"
Na2S2@graphene_vdw-PC,Na2S2,graphene_vdw,PC,-527.4817460783102,83.0,True,True,"{'C': [0.03, 0.03, 0.03, 0.029, 0.029, 0.029, 0.03, 0.03, 0.031, 0.029, 0.028, 0.028, 0.03, 0.03, 0.034, 0.028, 0.03, 0.028, 0.029, 0.03, 0.029, 0.028, 0.027, 0.033, 0.029, 0.027, 0.03, 0.03, 0.028, 0.027, 0.03, 0.03, 0.03, 0.029, 0.027, 0.029, 0.03, 0.029, 0.03, 0.03, 0.029, 0.029, 0.028, 0.029, 0.03, 0.03, 0.034, 0.028, 0.027, 0.033, 0.03, 0.028, 0.03, 0.03, 0.03, 0.028, 0.029, 0.029, 0.03, 0.028, 0.027, 0.03, 0.03, 0.03, 0.029, 0.027, 0.029, 0.03, 0.03, 0.028, 0.029, 0.029], 'S': [-0.472, -0.471], 'Na': [0.969, 0.969]}"
Na2S2@graphene_vdw-glyme,Na2S2,graphene_vdw,Glyme,-527.3316063852518,87.0,True,True,"{'C': [0.033, 0.033, 0.033, 0.031, 0.032, 0.03, 0.033, 0.034, 0.039, 0.031, 0.03, 0.021, 0.033, 0.033, 0.039, 0.03, 0.035, 0.025, 0.033, 0.035, 0.016, 0.03, 0.019, 0.044, 0.033, 0.025, 0.033, 0.035, 0.027, 0.028, 0.033, 0.036, 0.033, 0.032, 0.014, 0.031, 0.032, 0.032, 0.033, 0.034, 0.032, 0.032, 0.029, 0.031, 0.033, 0.034, 0.04, 0.031, 0.028, 0.036, 0.033, 0.029, 0.033, 0.034, 0.039, 0.008, 0.032, 0.033, 0.03, 0.025, 0.028, 0.033, 0.037, 0.034, 0.032, 0.009, 0.031, 0.033, 0.03, 0.027, 0.032, 0.033], 'S': [-0.448, -0.446], 'Na': [0.896, 0.897]}"
Na2S4@graphene_vdw,Na2S4,graphene_vdw,Vacuum,-547.8776582147465,17.0,False,True,"{'C': [0.04, 0.039, 0.031, 0.041, 0.04, 0.035, 0.039, 0.04, -0.009, 0.042, 0.042, 0.009, 0.041, 0.042, 0.024, 0.043, 0.023, 0.035, 0.042, 0.038, 0.037, 0.044, 0.044, 0.012, 0.042, 0.041, 0.042, 0.03, 0.042, 0.044, 0.043, 0.031, 0.041, 0.043, 0.042, 0.044, 0.039, 0.038, 0.041, 0.036, 0.019, 0.042, 0.04, 0.019, 0.041, 0.04, 0.012, 0.043, 0.043, -0.001, 0.042, 0.04, 0.04, 0.034, 0.021, 0.04, 0.043, 0.042, 0.037, 0.044, 0.043, 0.041, 0.013, 0.039, 0.042, 0.037, 0.043, 0.042, 0.035, 0.044, 0.043, 0.041], 'S': [-0.471, 0.067, 0.067, -0.471], 'Na': [0.781, 0.782]}"
Na2S4@graphene_vdw-PC,Na2S4,graphene_vdw,PC,-548.0639301937815,106.0,False,True,"{'C': [0.029, 0.029, 0.027, 0.03, 0.029, 0.028, 0.029, 0.029, 0.028, 0.03, 0.03, 0.028, 0.03, 0.03, 0.037, 0.031, 0.027, 0.029, 0.03, 0.029, 0.032, 0.031, 0.03, 0.03, 0.03, 0.03, 0.03, 0.028, 0.03, 0.031, 0.03, 0.03, 0.03, 0.031, 0.03, 0.03, 0.029, 0.029, 0.029, 0.028, 0.028, 0.03, 0.03, 0.027, 0.03, 0.029, 0.035, 0.031, 0.031, 0.032, 0.03, 0.029, 0.03, 0.028, 0.028, 0.03, 0.03, 0.03, 0.032, 0.03, 0.031, 0.03, 0.028, 0.029, 0.03, 0.03, 0.031, 0.03, 0.032, 0.03, 0.03, 0.03], 'S': [-0.405, -0.0, -0.001, -0.407], 'Na': [0.963, 0.962]}"
Na2S4@graphene_vdw-glyme,Na2S4,graphene_vdw,Glyme,-547.9193250597424,31.0,False,True,"{'C': [0.034, 0.034, 0.03, 0.035, 0.035, 0.032, 0.034, 0.034, 0.006, 0.036, 0.036, 0.019, 0.035, 0.035, 0.033, 0.037, 0.024, 0.033, 0.036, 0.033, 0.034, 0.037, 0.038, 0.02, 0.036, 0.036, 0.036, 0.028, 0.038, 0.038, 0.036, 0.03, 0.035, 0.037, 0.037, 0.038, 0.034, 0.033, 0.035, 0.032, 0.024, 0.036, 0.035, 0.023, 0.035, 0.034, 0.025, 0.037, 0.037, 0.017, 0.036, 0.034, 0.035, 0.031, 0.023, 0.036, 0.037, 0.036, 0.035, 0.038, 0.037, 0.035, 0.017, 0.033, 0.036, 0.035, 0.037, 0.036, 0.034, 0.038, 0.037, 0.036], 'S': [-0.399, -0.002, -0.002, -0.398], 'Na': [0.864, 0.865]}"
Na2S6@graphene_vdw,Na2S6,graphene_vdw,Vacuum,-568.4473843765479,21.0,True,True,"{'C': [0.044, 0.044, 0.045, 0.044, 0.045, 0.045, 0.044, 0.043, 0.035, 0.044, 0.045, 0.043, 0.042, 0.042, 0.03, 0.044, 0.042, 0.046, 0.043, 0.034, 0.026, 0.041, 0.04, 0.014, 0.04, 0.046, 0.044, 0.038, 0.019, 0.043, 0.042, 0.001, 0.036, 0.043, 0.033, 0.034, 0.045, 0.045, 0.044, 0.043, 0.044, 0.044, 0.046, 0.045, 0.043, 0.041, 0.034, 0.044, 0.044, 0.034, 0.042, 0.045, 0.044, 0.043, 0.031, 0.041, 0.042, 0.032, -0.002, 0.035, 0.045, 0.043, 0.025, 0.039, 0.044, 0.045, 0.044, 0.041, 0.009, 0.036, 0.041, 0.023], 'S': [-0.328, 0.388, -0.406, -0.406, 0.388, -0.328], 'Na': [0.726, 0.726]}"
Na2S6@graphene_vdw-PC,Na2S6,graphene_vdw,PC,-568.6326820365202,99.0,True,True,"{'C': [0.041, 0.041, 0.041, 0.041, 0.041, 0.041, 0.041, 0.04, 0.039, 0.041, 0.041, 0.039, 0.04, 0.039, 0.043, 0.041, 0.04, 0.04, 0.041, 0.038, 0.041, 0.04, 0.04, 0.038, 0.039, 0.041, 0.041, 0.039, 0.038, 0.041, 0.04, 0.038, 0.038, 0.041, 0.039, 0.039, 0.041, 0.041, 0.041, 0.04, 0.04, 0.041, 0.041, 0.04, 0.04, 0.039, 0.041, 0.041, 0.041, 0.04, 0.039, 0.041, 0.041, 0.04, 0.038, 0.04, 0.04, 0.038, 0.038, 0.04, 0.041, 0.04, 0.038, 0.038, 0.041, 0.041, 0.041, 0.039, 0.039, 0.04, 0.04, 0.038], 'S': [-0.526, 0.333, -0.42, -0.419, 0.334, -0.526], 'Na': [0.939, 0.939]}"
Na2S6@graphene_vdw-glyme,Na2S6,graphene_vdw,Glyme,-568.4822080870562,81.0,True,True,"{'C': [0.042, 0.041, 0.042, 0.042, 0.042, 0.042, 0.041, 0.04, 0.038, 0.041, 0.042, 0.042, 0.039, 0.039, 0.039, 0.041, 0.04, 0.044, 0.04, 0.035, 0.037, 0.039, 0.04, 0.028, 0.038, 0.043, 0.041, 0.037, 0.03, 0.041, 0.039, 0.022, 0.035, 0.04, 0.038, 0.036, 0.042, 0.042, 0.041, 0.04, 0.043, 0.041, 0.043, 0.042, 0.04, 0.038, 0.039, 0.041, 0.041, 0.037, 0.039, 0.042, 0.041, 0.04, 0.034, 0.041, 0.039, 0.034, 0.023, 0.037, 0.042, 0.04, 0.032, 0.037, 0.041, 0.044, 0.041, 0.038, 0.03, 0.038, 0.039, 0.031], 'S': [-0.415, 0.329, -0.353, -0.355, 0.329, -0.416], 'Na': [0.818, 0.817]}"
Na2S8@graphene_vdw,Na2S8,graphene_vdw,Vacuum,-589.0188799364824,113.0,True,True,"{'C': [0.045, 0.045, 0.042, 0.045, 0.044, 0.046, 0.045, 0.047, 0.035, 0.045, 0.045, 0.05, 0.046, 0.048, 0.04, 0.046, 0.049, 0.033, 0.046, 0.05, -0.007, 0.045, 0.04, 0.046, 0.046, 0.046, 0.045, 0.045, 0.04, 0.045, 0.045, 0.045, 0.046, 0.045, 0.047, 0.046, 0.045, 0.044, 0.045, 0.046, 0.035, 0.045, 0.042, 0.05, 0.046, 0.049, 0.016, 0.046, 0.046, 0.051, 0.047, 0.046, 0.045, 0.044, 0.049, 0.019, 0.046, 0.046, 0.023, 0.042, 0.046, 0.045, 0.044, 0.045, 0.045, 0.048, 0.046, 0.046, 0.046, 0.046, 0.045, 0.046], 'S': [-0.051, 0.073, -0.264, -0.393, 0.315, -0.292, 0.206, -0.426], 'Na': [0.707, 0.714]}"
